"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RPS12",5.42044628799082e-170,0.785795029842222,1,0.991,7.43360003935061e-166,"0","RPS12"
"RPS6",8.60240854433143e-169,0.728697971678816,1,0.995,1.17973430776961e-164,"0","RPS6"
"RPL32",3.65015909205178e-158,0.660143962430567,0.999,0.995,5.00582817883981e-154,"0","RPL32"
"RPS27",5.70306790546992e-153,0.756262666619074,0.999,0.992,7.82118732556145e-149,"0","RPS27"
"RPS14",5.57449991660636e-151,0.661263107354995,1,0.994,7.64486918563396e-147,"0","RPS14"
"RPS25",7.77597815685564e-141,0.813165014607902,0.999,0.974,1.06639764443118e-136,"0","RPS25"
"RPS3A",2.84099391230772e-135,0.860034274570581,0.997,0.974,3.89613905133881e-131,"0","RPS3A"
"RPL31",5.89413992740288e-135,0.803132569288459,1,0.962,8.0832234964403e-131,"0","RPL31"
"RPL3",4.61967933347886e-133,0.664704058442512,0.997,0.995,6.33542823793291e-129,"0","RPL3"
"RPL9",7.39907804565249e-133,0.790960078556864,0.999,0.97,1.01470956318078e-128,"0","RPL9"
"RPL13",2.9369387924001e-132,0.59647248524781,1,0.996,4.0277178598975e-128,"0","RPL13"
"RPS15A",4.29790580069623e-130,0.69786298363786,0.997,0.983,5.89414801507481e-126,"0","RPS15A"
"LDHB",2.15269919922445e-128,1.28050668089029,0.928,0.58,2.95221168181642e-124,"0","LDHB"
"RPS3",6.93671315816181e-128,0.638292652894886,1,0.994,9.5130084251031e-124,"0","RPS3"
"RPLP2",2.24706776705015e-124,0.648250256337707,1,0.99,3.08162873573258e-120,"0","RPLP2"
"RPL30",5.22036966495092e-123,0.706674794582423,1,0.979,7.15921495851369e-119,"0","RPL30"
"RPL21",6.61084421943525e-121,0.701853698209164,0.997,0.991,9.06611176253351e-117,"0","RPL21"
"EEF1A1",3.40336744185088e-120,0.587357838609366,0.994,0.991,4.6673781097543e-116,"0","EEF1A1"
"RPS27A",1.17993174046396e-116,0.796273060412383,0.997,0.965,1.61815838887228e-112,"0","RPS27A"
"RPS18",9.23103927629656e-113,0.558132475274253,1,0.996,1.26594472635131e-108,"0","RPS18"
"RPS13",4.80042207767692e-106,0.728410291062266,0.99,0.959,6.58329883732612e-102,"0","RPS13"
"RPL13A",7.57847865659706e-106,0.503869458996275,1,0.999,1.03931256296572e-101,"0","RPL13A"
"RPL11",4.74167121464568e-103,0.483194965816134,1,0.995,6.50272790376509e-99,"0","RPL11"
"RPS4X",5.74650886012679e-102,0.569263944680618,0.997,0.992,7.88076225077788e-98,"0","RPS4X"
"RPS28",1.18757999674592e-101,0.678677164097071,0.994,0.967,1.62864720753736e-97,"0","RPS28"
"TPT1",5.19010558318456e-101,0.653506051610398,0.997,0.982,7.11771079677931e-97,"0","TPT1"
"RPL27A",1.12303697043173e-100,0.563055177184164,1,0.987,1.54013290125008e-96,"0","RPL27A"
"RPS23",2.24921955973904e-100,0.607815417690175,1,0.976,3.08457970422612e-96,"0","RPS23"
"RPL35A",7.31378884333442e-99,0.597008567211095,1,0.98,1.00301300197488e-94,"0","RPL35A"
"CCR7",1.32216682418495e-97,2.49700588664147,0.456,0.099,1.81321958268723e-93,"0","CCR7"
"RPS16",1.27306383154516e-96,0.590342194585375,0.997,0.981,1.74587973858103e-92,"0","RPS16"
"RPS29",4.75856530158231e-94,0.776142334833736,0.993,0.902,6.52589645458998e-90,"0","RPS29"
"RPL23A",5.56726525784007e-91,0.567177630997413,1,0.988,7.63494757460187e-87,"0","RPL23A"
"RPL10",8.83733246616011e-90,0.393575869194013,1,0.997,1.2119517744092e-85,"0","RPL10"
"RPL5",2.99435377957102e-88,0.64439240905809,0.99,0.968,4.1064567733037e-84,"0","RPL5"
"RPS20",3.2638537554218e-88,0.704207182747563,0.993,0.94,4.47604904018546e-84,"0","RPS20"
"RPL10A",1.89785081330032e-86,0.606328786372677,0.992,0.985,2.60271260536006e-82,"0","RPL10A"
"RPL19",2.88373647162688e-86,0.432608142036883,0.999,0.993,3.9547561971891e-82,"0","RPL19"
"RPSA",1.0300118104178e-85,0.653346053649707,0.99,0.947,1.41255819680697e-81,"0","RPSA"
"CD3D",3.16911241065172e-79,1.04407368021704,0.857,0.393,4.34612075996776e-75,"0","CD3D"
"MALAT1",4.67031151543229e-78,0.603008033845434,1,0.999,6.40486521226384e-74,"0","MALAT1"
"RPS10",5.79196159424464e-76,0.57360769878484,0.992,0.968,7.9430961303471e-72,"0","RPS10"
"RPS5",2.69747346013574e-75,0.576987947003452,0.992,0.974,3.69931510323015e-71,"0","RPS5"
"NPM1",1.64070516375281e-72,0.851158315800019,0.931,0.792,2.2500630615706e-68,"0","NPM1"
"RPL14",1.20435692392049e-71,0.468066851755046,0.997,0.984,1.65165508546456e-67,"0","RPL14"
"RPL18",9.72270376698155e-71,0.504853910600168,0.999,0.978,1.33337159460385e-66,"0","RPL18"
"RPL36A",1.93177718881177e-67,0.680240605279323,0.975,0.882,2.64923923673646e-63,"0","RPL36A"
"RPLP0",2.46950026679155e-67,0.590484769224391,0.989,0.937,3.38667266587793e-63,"0","RPLP0"
"RPS15",2.26314458403717e-66,0.427208679481457,1,0.989,3.10367648254858e-62,"0","RPS15"
"CD3E",4.46775551714214e-66,1.13189946184061,0.759,0.383,6.12707991620874e-62,"0","CD3E"
"RPL7",5.61004651816904e-65,0.623808772934506,0.986,0.964,7.69361779501702e-61,"0","RPL7"
"RPL36",9.56437917671064e-65,0.571298520698846,0.992,0.946,1.3116589602941e-60,"0","RPL36"
"NOSIP",9.32174391477268e-64,1.33262318602489,0.667,0.34,1.27838396047192e-59,"0","NOSIP"
"RPL4",4.75510192918114e-63,0.580756856154355,0.992,0.956,6.52114678567902e-59,"0","RPL4"
"RPL17",8.58561428421458e-62,0.532702140095703,0.981,0.956,1.17743114293719e-57,"0","RPL17"
"RPS2",1.35678172579601e-61,0.368802967283361,1,0.995,1.86069045875665e-57,"0","RPS2"
"RPS8",2.8959890865338e-60,0.488196947595072,0.997,0.984,3.97155943327246e-56,"0","RPS8"
"LEF1",1.78760428823812e-59,2.12460175502176,0.355,0.094,2.45152052088976e-55,"0","LEF1"
"RPS19",8.94131413773337e-59,0.403840634518835,0.997,0.992,1.22621182084875e-54,"0","RPS19"
"EEF1B2",1.21229167330335e-55,0.597675730066984,0.963,0.86,1.66253680076822e-51,"0","EEF1B2"
"PRKCQ-AS1",6.03851276392226e-54,2.06789912301709,0.35,0.101,8.28121640444298e-50,"0","PRKCQ-AS1"
"RPL18A",6.77350629494291e-54,0.346321924670042,0.999,0.992,9.28918653288471e-50,"0","RPL18A"
"RPL22",1.1217743508297e-50,0.709773386341125,0.922,0.77,1.53840134472785e-46,"0","RPL22"
"PIK3IP1",2.22588595254529e-48,1.51540037198098,0.452,0.176,3.05257999532061e-44,"0","PIK3IP1"
"TMEM66",2.35040122491112e-48,0.821996677288933,0.87,0.688,3.22334023984312e-44,"0","TMEM66"
"RPL24",3.81701021012055e-48,0.502663765861166,0.996,0.937,5.23464780215932e-44,"0","RPL24"
"RPL38",7.08593873361031e-47,0.579933647742376,0.96,0.868,9.71765637927318e-43,"0","RPL38"
"RPS26",1.25176351151863e-46,0.545648010396032,0.971,0.894,1.71666847969665e-42,"0","RPS26"
"RPLP1",1.32853743225389e-46,0.345438457829364,1,0.996,1.82195623459299e-42,"0","RPLP1"
"JUNB",5.29676111524339e-46,0.708006177181373,0.925,0.899,7.26397819344479e-42,"0","JUNB"
"GLTSCR2",6.31694227583599e-46,0.650096429219485,0.936,0.795,8.66305463708148e-42,"0","GLTSCR2"
"CD7",2.95668915189689e-45,0.952199893748751,0.601,0.28,4.05480350291139e-41,"0","CD7"
"IL7R",4.27056817905925e-45,0.98479791470366,0.631,0.317,5.85665720076186e-41,"0","IL7R"
"RPL35",4.84344598825826e-43,0.443354591735067,0.997,0.962,6.64230182829737e-39,"0","RPL35"
"RPL34",7.7604691339942e-41,0.693050071751425,0.946,0.896,1.06427073703596e-36,"0","RPL34"
"RPSAP58",1.69179262139366e-40,0.67057590594293,0.871,0.685,2.32012440097926e-36,"0","RPSAP58"
"RPS21",5.07626994688001e-40,0.544413831154168,0.943,0.836,6.96159660515124e-36,"0","RPS21"
"TCF7",5.21870871012562e-40,1.42679558388993,0.408,0.167,7.15693712506627e-36,"0","TCF7"
"RPL37",9.23872638465424e-40,0.458602379812304,0.989,0.941,1.26699893639148e-35,"0","RPL37"
"BTG1",1.26132009050247e-39,0.577454183977629,0.947,0.856,1.72977437211509e-35,"0","BTG1"
"CD27",1.39451319759455e-39,1.07604616121791,0.426,0.17,1.91243539918117e-35,"0","CD27"
"RPL12",1.97469641098184e-39,0.301150251432431,1,0.989,2.7080986580205e-35,"0","RPL12"
"RPL27",2.33195897075368e-38,0.405588222906949,0.982,0.949,3.1980485324916e-34,"0","RPL27"
"RPL37A",4.54752758577979e-38,0.412316776834737,0.988,0.944,6.23647933113841e-34,"0","RPL37A"
"MAL",1.92218548387154e-37,1.94718275784286,0.27,0.082,2.63608517258144e-33,"0","MAL"
"C6orf48",5.04693811780171e-36,1.02124453329696,0.714,0.482,6.92137093475326e-32,"0","C6orf48"
"RPL15",7.42676637909044e-36,0.312912391574862,0.997,0.995,1.01850674122846e-31,"0","RPL15"
"RPL7A",2.43054397502594e-35,0.381358609096135,0.989,0.974,3.33324800735058e-31,"0","RPL7A"
"LTB",3.68253583061479e-34,0.47704746602897,0.907,0.628,5.05022963810512e-30,"0","LTB"
"RPL6",6.11376908247838e-34,0.318222430110719,0.999,0.992,8.38442291971086e-30,"0","RPL6"
"RPS4Y1",2.53421512084989e-33,0.493214749269537,0.945,0.866,3.47542261673353e-29,"0","RPS4Y1"
"LEPROTL1",3.18494942543167e-33,1.09498458449272,0.426,0.197,4.36783964203699e-29,"0","LEPROTL1"
"RPL26",7.7302647938989e-30,0.28876220428153,0.996,0.991,1.0601285138353e-25,"0","RPL26"
"RGCC",2.51000072711048e-27,1.13727081786745,0.376,0.176,3.44221499715931e-23,"0","RGCC"
"RPS7",2.53382877730181e-26,0.287968845301689,0.997,0.986,3.47489278519171e-22,"0","RPS7"
"RPL29",2.74502093484932e-26,0.271813927506103,0.997,0.983,3.76452171005235e-22,"0","RPL29"
"TOMM7",4.61244820376748e-26,0.522509135712091,0.864,0.747,6.32551146664672e-22,"0","TOMM7"
"C12orf57",4.74521353635878e-26,1.21923775679476,0.449,0.246,6.50758584376242e-22,"0","C12orf57"
"FLT3LG",3.24331971240574e-24,1.42020506288507,0.291,0.128,4.44788865359323e-20,"0","FLT3LG"
"TMEM123",1.04333491653458e-23,0.746932443741987,0.574,0.372,1.43082950453552e-19,"0","TMEM123"
"HNRNPA1",1.99928422619589e-23,0.346973502818277,0.965,0.916,2.74181838780505e-19,"0","HNRNPA1"
"GIMAP5",3.15063304025492e-23,0.549392601743192,0.43,0.232,4.32077815140559e-19,"0","GIMAP5"
"AES",3.60003464312471e-23,0.61137610397947,0.662,0.43,4.93708750958123e-19,"0","AES"
"CD3G",1.3850451787613e-21,0.826823021582475,0.352,0.169,1.89945095815325e-17,"0","CD3G"
"LCK",2.09955205247304e-21,0.754241706369382,0.516,0.303,2.87932568476153e-17,"0","LCK"
"TRAT1",1.09104148685121e-20,1.10476971697135,0.286,0.131,1.49625429506775e-16,"0","TRAT1"
"MYC",2.31998053150707e-20,1.16640263181893,0.25,0.109,3.1816213009088e-16,"0","MYC"
"RHOH",4.19313642886169e-20,0.955322837534893,0.381,0.201,5.75046729854092e-16,"0","RHOH"
"SELL",9.78948900035202e-20,0.61970563292472,0.613,0.42,1.34253052150828e-15,"0","SELL"
"NDFIP1",2.71004032710134e-19,0.962809161066608,0.451,0.278,3.71654930458677e-15,"0","NDFIP1"
"DNAJB1",7.75270964918226e-19,1.0160162910387,0.413,0.247,1.06320660128886e-14,"0","DNAJB1"
"EVL",2.5751593922833e-18,0.595638069636407,0.667,0.482,3.53157359057732e-14,"0","EVL"
"GYPC",9.41757569261758e-18,0.850028531072882,0.415,0.247,1.29152633048558e-13,"0","GYPC"
"HINT1",1.01314185433485e-17,0.485933377412086,0.757,0.598,1.38942273903481e-13,"0","HINT1"
"PRDX2",2.37429524156234e-17,0.790847621237183,0.413,0.245,3.25610849427859e-13,"0","PRDX2"
"GNB2L1",3.43499238482254e-17,0.256879626438213,0.99,0.977,4.71074855654563e-13,"0","GNB2L1"
"RPL23",6.72330822254585e-17,0.30815785437807,0.918,0.835,9.22034489639938e-13,"0","RPL23"
"ST13",1.05012927430864e-16,0.678188462929009,0.521,0.358,1.44014728678687e-12,"0","ST13"
"RGS10",1.44846494576141e-16,0.611819669056356,0.542,0.369,1.9864248266172e-12,"0","RGS10"
"PABPC1",1.54720524683423e-16,0.398774392899414,0.904,0.844,2.12183727550846e-12,"0","PABPC1"
"EIF4A2",2.44360615801328e-16,0.422101455871382,0.761,0.595,3.35116148509941e-12,"0","EIF4A2"
"LAT",3.20162578353808e-16,0.834560781185242,0.331,0.178,4.39070959954412e-12,"0","LAT"
"HSPA8",1.51714446958082e-15,0.453555150995916,0.796,0.63,2.08061192558313e-11,"0","HSPA8"
"OCIAD2",1.45445304149869e-14,0.740895167632543,0.333,0.187,1.9946369011113e-10,"0","OCIAD2"
"PPA1",2.67581444666911e-14,0.636883738542909,0.424,0.275,3.66961193216202e-10,"0","PPA1"
"ACAP1",4.79601470424544e-14,0.851974289976417,0.419,0.259,6.5772545654022e-10,"0","ACAP1"
"AQP3",4.84776447818048e-14,0.698445153047956,0.259,0.132,6.64822420537671e-10,"0","AQP3"
"PEBP1",1.473765686746e-13,0.541468532223915,0.497,0.338,2.02112226280347e-09,"0","PEBP1"
"SLC2A3",4.51576063032715e-13,0.661226288527506,0.351,0.215,6.19291412843065e-09,"0","SLC2A3"
"CD2",5.43406913278615e-13,0.488171895440556,0.44,0.273,7.45228240870293e-09,"0","CD2"
"FYB",7.73572594964889e-13,0.527577161694616,0.473,0.331,1.06087745673485e-08,"0","FYB"
"COMMD6",8.28722768892282e-13,0.449392762736767,0.692,0.568,1.13651040525888e-08,"0","COMMD6"
"GIMAP7",1.83370344290377e-12,0.410782022047019,0.646,0.5,2.51474090159823e-08,"0","GIMAP7"
"TRAF3IP3",2.46348608271597e-12,0.671220128745406,0.578,0.447,3.37842481383668e-08,"0","TRAF3IP3"
"PSIP1",2.61354580789467e-12,0.857872705593163,0.275,0.157,3.58421672094675e-08,"0","PSIP1"
"ZFP36L2",2.61529503063461e-12,0.42542183376835,0.749,0.616,3.5866156050123e-08,"0","ZFP36L2"
"SOD1",3.31252369213476e-12,0.510806887548098,0.617,0.473,4.54279499139361e-08,"0","SOD1"
"NACA",5.61182548869997e-12,0.254838940895207,0.982,0.969,7.69605747520314e-08,"0","NACA"
"CXCR4",1.17794462955604e-11,0.3252485017811,0.717,0.557,1.61543326497315e-07,"0","CXCR4"
"COX7C",1.84951931564764e-11,0.406351441720153,0.774,0.669,2.53643078947918e-07,"0","COX7C"
"JUN",3.08594741428265e-11,0.352434863348459,0.798,0.722,4.23206828394723e-07,"0","JUN"
"EEF1G",3.6088235281502e-11,0.741002203608404,0.334,0.212,4.94914058650519e-07,"0","EEF1G"
"SOCS3",8.17519154293621e-11,0.968308404007419,0.252,0.147,1.12114576819827e-06,"0","SOCS3"
"SRSF5",2.10270505092232e-10,0.283845141667866,0.8,0.709,2.88364970683487e-06,"0","SRSF5"
"SPOCK2",2.25057813936111e-10,0.588852589853558,0.298,0.176,3.08644286031982e-06,"0","SPOCK2"
"CCDC109B",2.44929906221014e-10,0.759722883434049,0.417,0.293,3.35896873391498e-06,"0","CCDC109B"
"RSL1D1",2.61217406755751e-10,0.625915583302982,0.423,0.292,3.58233551624837e-06,"0","RSL1D1"
"EIF3E",3.19398746179281e-10,0.620770694209978,0.459,0.344,4.38023440510266e-06,"0","EIF3E"
"CD69",4.8862891727996e-10,0.397593858746692,0.467,0.321,6.70105697157737e-06,"0","CD69"
"BTF3",2.13214372433396e-09,0.286609595976806,0.931,0.883,2.92402190355159e-05,"0","BTF3"
"DDX5",2.55604546753477e-09,0.291456199167146,0.883,0.788,3.50536075417718e-05,"0","DDX5"
"SNRPD2",5.66661246306416e-09,0.422949571613812,0.65,0.538,7.77119233184619e-05,"0","SNRPD2"
"CYTIP",7.34235730766044e-09,0.377491627874941,0.429,0.31,0.000100693088117255,"0","CYTIP"
"BTG2",1.38743038851476e-08,0.540430738449351,0.444,0.331,0.000190272203480914,"0","BTG2"
"RPL39",3.99891217559928e-08,0.670641904277742,0.347,0.248,0.000548410815761685,"0","RPL39"
"SBDS",1.12857255798379e-07,0.478070293126992,0.277,0.18,0.00154772440601897,"0","SBDS"
"CUTA",1.18739655961434e-07,0.602765438703427,0.512,0.407,0.00162839564185511,"0","CUTA"
"UXT",1.6899372324391e-07,0.416142835950811,0.487,0.38,0.00231757992056698,"0","UXT"
"MZT2B",2.32080719747212e-07,0.515298003698326,0.454,0.347,0.00318275499061326,"0","MZT2B"
"RPL41",2.57069858671382e-07,0.343595785396168,0.616,0.515,0.00352545604181933,"0","RPL41"
"NBEAL1",2.63914888220322e-07,0.289240780658455,0.757,0.659,0.0036193287770535,"0","NBEAL1"
"EIF2S3",5.97598414490274e-07,0.471259394033254,0.276,0.187,0.00819546465631962,"0","EIF2S3"
"SNHG8",8.24111707468577e-07,0.74297539961276,0.318,0.226,0.0113018679562241,"0","SNHG8"
"CITED2",1.00801655881767e-06,0.612221355735777,0.291,0.206,0.0138239390876255,"0","CITED2"
"STK17A",2.16772720300288e-06,0.419859095134247,0.397,0.289,0.0297282108619815,"0","STK17A"
"CDC42SE2",3.27757960582106e-06,0.457519802562607,0.298,0.209,0.04494872671423,"0","CDC42SE2"
"ANKRD12",4.87456161317968e-06,0.425086723463506,0.359,0.267,0.0668497379631461,"0","ANKRD12"
"ARHGAP15",6.29284023138831e-06,0.35384714311851,0.345,0.251,0.0863000109332593,"0","ARHGAP15"
"CMPK1",8.56588087677533e-06,0.336033468865015,0.448,0.351,0.117472490344097,"0","CMPK1"
"SEPT6",1.87362239234468e-05,0.454648281615783,0.264,0.187,0.25694857488615,"0","SEPT6"
"MZT2A",1.99337395973329e-05,0.434157284201093,0.32,0.239,0.273371304837824,"0","MZT2A"
"TECR",2.0570684313455e-05,0.475589956445283,0.266,0.189,0.282106364674721,"0","TECR"
"MRPS21",6.10817244194219e-05,0.72495920251242,0.279,0.206,0.837674768687952,"0","MRPS21"
"TOMM20",7.13067431891124e-05,0.439496375586776,0.323,0.251,0.977900676095488,"0","TOMM20"
"HSPE1",0.000117075806685116,0.353142064990363,0.262,0.191,1,"0","HSPE1"
"ZFAS1",0.000192469188117727,0.305477674263976,0.537,0.473,1,"0","ZFAS1"
"SON",0.000255879893813664,0.413146815213356,0.363,0.296,1,"0","SON"
"FBL",0.000329494377570327,0.581195490324288,0.329,0.258,1,"0","FBL"
"FAIM3",0.000499653064793758,0.338595391135536,0.257,0.19,1,"0","FAIM3"
"NDUFA2",0.000507304244831502,0.254797025258653,0.212,0.275,1,"0","NDUFA2"
"ARHGEF1",0.000674281120616106,0.350057080877614,0.284,0.222,1,"0","ARHGEF1"
"NDUFS5",0.000849827986557242,0.355904202683643,0.449,0.379,1,"0","NDUFS5"
"SEPT1",0.000998605026588718,0.482139037966398,0.282,0.215,1,"0","SEPT1"
"C1QBP",0.00107066995353804,0.257827269550766,0.417,0.356,1,"0","C1QBP"
"GIMAP1",0.00111157386607694,0.301762109357493,0.37,0.308,1,"0","GIMAP1"
"TMA7",0.00124477752985384,0.275577902984171,0.734,0.65,1,"0","TMA7"
"PCNP",0.00131384698604279,0.514653667214127,0.3,0.241,1,"0","PCNP"
"HAX1",0.00184556699800925,0.29693418965235,0.254,0.2,1,"0","HAX1"
"BIN1",0.00375891466689409,0.268405570558208,0.297,0.233,1,"0","BIN1"
"EIF4B",0.00578160898427275,0.331349551902226,0.272,0.227,1,"0","EIF4B"
"C9orf78",0.00637293810730569,0.287740250203753,0.331,0.28,1,"0","C9orf78"
"S100A8",0,6.64971545471952,0.973,0.122,0,"1","S100A8"
"LGALS2",0,5.63640486399382,0.908,0.06,0,"1","LGALS2"
"FCN1",0,4.05210571803679,0.952,0.151,0,"1","FCN1"
"S100A9",0,6.16584170793965,0.996,0.216,0,"1","S100A9"
"CD14",4.49259672219341e-295,5.94842420483582,0.668,0.028,6.16114714481604e-291,"1","CD14"
"TYROBP",3.02883746932103e-284,3.27774356968171,0.994,0.265,4.15374770542686e-280,"1","TYROBP"
"MS4A6A",6.13384391060751e-278,5.32775140764892,0.687,0.041,8.41195353900714e-274,"1","MS4A6A"
"CST3",8.09369184159857e-269,3.20389292342999,0.992,0.266,1.10996889915683e-264,"1","CST3"
"LYZ",2.7568387476152e-267,4.73359832125591,1,0.517,3.78072865847949e-263,"1","LYZ"
"TYMP",1.01125729484532e-237,3.11416696656828,0.916,0.223,1.38683825415087e-233,"1","TYMP"
"CFD",2.03688350659785e-230,3.12513818974134,0.785,0.107,2.79338204094829e-226,"1","CFD"
"LGALS1",8.60395159487197e-228,2.78095795419847,0.979,0.365,1.17994592172074e-223,"1","LGALS1"
"LST1",1.29312114847581e-227,2.22090844706394,0.958,0.223,1.77338634301972e-223,"1","LST1"
"AIF1",8.51268995989734e-226,2.52056201723057,0.956,0.245,1.16743030110032e-221,"1","AIF1"
"GPX1",1.62875226231712e-216,2.59392016187021,0.925,0.312,2.23367085254169e-212,"1","GPX1"
"GSTP1",7.15884440960821e-216,2.89182157362266,0.944,0.352,9.8176392233367e-212,"1","GSTP1"
"GRN",1.91421211883256e-214,3.61800376697688,0.756,0.129,2.62515049976697e-210,"1","GRN"
"FTL",4.97155943924464e-213,2.61625079414119,1,0.987,6.8179966149801e-209,"1","FTL"
"S100A6",3.82159802333386e-205,2.11496196234612,0.996,0.736,5.24093952920006e-201,"1","S100A6"
"FTH1",1.39432164003797e-199,2.21956544753828,1,0.987,1.91217269714807e-195,"1","FTH1"
"FCER1G",6.90130576897032e-193,2.02130138984794,0.939,0.229,9.46445073156589e-189,"1","FCER1G"
"CTSS",2.94725046358129e-184,2.35425100206055,0.944,0.429,4.04185928575538e-180,"1","CTSS"
"CD68",2.83577863067868e-178,2.89349127618359,0.708,0.115,3.88898681411275e-174,"1","CD68"
"CEBPD",4.14999612251779e-178,3.26907781443069,0.691,0.121,5.6913046824209e-174,"1","CEBPD"
"S100A4",2.24319888840087e-176,1.68437359493398,1,0.771,3.07632295555296e-172,"1","S100A4"
"LGALS3",2.15556256106263e-174,3.11494126157366,0.718,0.142,2.95613849624129e-170,"1","LGALS3"
"AP1S2",9.48829387853307e-174,2.99637094381353,0.768,0.194,1.30122462250202e-169,"1","AP1S2"
"NPC2",1.02644615079967e-170,2.49938059824115,0.879,0.316,1.40766825120667e-166,"1","NPC2"
"OAZ1",4.55885731910776e-169,1.47156788976577,0.996,0.893,6.25201692742438e-165,"1","OAZ1"
"CDA",1.09373339678053e-166,3.93135856496338,0.543,0.059,1.49994598034482e-162,"1","CDA"
"S100A11",2.25976751785587e-166,2.0571324157441,0.95,0.433,3.09904517398754e-162,"1","S100A11"
"PSAP",4.13398297541165e-165,2.12393763763823,0.923,0.418,5.66934425247954e-161,"1","PSAP"
"CFP",9.55077395389414e-163,2.9907247061904,0.649,0.11,1.30979314003704e-158,"1","CFP"
"SAT1",1.8440488140238e-161,2.02617771615695,0.967,0.508,2.52892854355224e-157,"1","SAT1"
"CSF3R",3.7849993658845e-159,4.40955716598469,0.466,0.038,5.19074813037401e-155,"1","CSF3R"
"NCF2",3.2492499489542e-158,3.58617394338336,0.585,0.086,4.45602137999579e-154,"1","NCF2"
"BLVRB",1.23914332641923e-156,3.65211447040897,0.553,0.075,1.69936115785133e-152,"1","BLVRB"
"COTL1",4.49659173329642e-155,1.77689652828978,0.973,0.553,6.16662590304271e-151,"1","COTL1"
"NUP214",5.97550503151243e-154,3.73598204348099,0.52,0.061,8.19480760021615e-150,"1","NUP214"
"ASGR1",1.59438609555619e-153,5.76518050154415,0.374,0.015,2.18654109144575e-149,"1","ASGR1"
"SERPINA1",6.64334160722554e-153,2.46639964039827,0.71,0.144,9.11067868014911e-149,"1","SERPINA1"
"GABARAP",3.59636271797598e-146,2.12132024054735,0.875,0.404,4.93205183143226e-142,"1","GABARAP"
"ALDH2",1.20995586079721e-145,4.45194001343196,0.441,0.038,1.6593334674973e-141,"1","ALDH2"
"IFI30",3.68051040274432e-143,2.76484246401654,0.557,0.079,5.04745196632357e-139,"1","IFI30"
"FCGRT",3.8309908653125e-142,3.06402376232701,0.649,0.141,5.25382087268956e-138,"1","FCGRT"
"CYBA",2.98065339507706e-141,1.34943361308159,0.99,0.816,4.08766806600868e-137,"1","CYBA"
"FOLR3",1.35338193359831e-139,7.28819018563375,0.301,0.004,1.85602798373673e-135,"1","FOLR3"
"TKT",1.56959851668293e-138,2.31669523258742,0.783,0.256,2.15254740577897e-134,"1","TKT"
"FPR1",4.7427649837392e-137,4.05095369271518,0.424,0.039,6.50422789869994e-133,"1","FPR1"
"PYCARD",1.25386614658003e-135,2.06989501704801,0.806,0.275,1.71955203341986e-131,"1","PYCARD"
"SPI1",1.15667470401443e-133,2.51933910377445,0.63,0.121,1.58626368908539e-129,"1","SPI1"
"RAC1",6.38949511885857e-130,2.08491671408895,0.852,0.349,8.76255360600264e-126,"1","RAC1"
"TSPO",1.63735607438383e-128,2.14611904141414,0.85,0.396,2.24547012040999e-124,"1","TSPO"
"SLC7A7",7.28711164095932e-125,3.35240599347745,0.47,0.063,9.99354490441161e-121,"1","SLC7A7"
"BRI3",1.8457753583441e-124,2.77044116889937,0.589,0.12,2.5312963264331e-120,"1","BRI3"
"TNFSF13B",1.41435599317006e-122,3.4818617099284,0.509,0.085,1.93964780903342e-118,"1","TNFSF13B"
"S100A12",7.79561129163429e-122,6.74507827402086,0.278,0.006,1.06909013253473e-117,"1","S100A12"
"RBP7",1.19512886611763e-121,4.93421496596785,0.309,0.014,1.63899972699372e-117,"1","RBP7"
"IGSF6",3.48570451793981e-120,3.79877252195033,0.405,0.043,4.78029517590265e-116,"1","IGSF6"
"IFITM3",1.53135047118778e-116,2.17106969425674,0.622,0.138,2.10009403618692e-112,"1","IFITM3"
"RNF130",6.47254250108454e-116,3.02674510821895,0.528,0.103,8.87644478598734e-112,"1","RNF130"
"GAPDH",1.11360977795571e-114,1.34061510192479,0.969,0.825,1.52720444948846e-110,"1","GAPDH"
"TALDO1",6.43698579833457e-114,1.9124428706093,0.756,0.285,8.82768232383603e-110,"1","TALDO1"
"VCAN",1.08371798366114e-113,3.87542608443248,0.372,0.036,1.48621084279289e-109,"1","VCAN"
"BST1",9.09592764684576e-113,4.53592070285622,0.317,0.02,1.24741551748843e-108,"1","BST1"
"PLBD1",9.68445435253762e-110,4.39864028863324,0.344,0.031,1.32812606990701e-105,"1","PLBD1"
"MNDA",1.28454321316424e-108,3.31832459071961,0.424,0.06,1.76162256253344e-104,"1","MNDA"
"APOBEC3A",2.17069259823778e-104,3.31034440645517,0.418,0.061,2.97688782922329e-100,"1","APOBEC3A"
"IFI6",5.60946358028012e-102,1.92198799695924,0.779,0.32,7.69281835399615e-98,"1","IFI6"
"CTSH",5.00862329094268e-100,2.67453069906078,0.501,0.106,6.86882598119879e-96,"1","CTSH"
"CTSB",7.76521788045105e-99,2.78776652157279,0.53,0.127,1.06492198012506e-94,"1","CTSB"
"NEAT1",2.48970449020699e-98,1.47985222543382,0.919,0.578,3.41438073786986e-94,"1","NEAT1"
"CPVL",7.7756816240557e-98,3.38144199008182,0.386,0.056,1.066356977923e-93,"1","CPVL"
"AP2S1",2.25226309898817e-93,1.98297639339409,0.699,0.277,3.08875361395238e-89,"1","AP2S1"
