"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ADA1",0.00156947357254394,0.349674316887829,0.323,0.111,1,"7","ADA"
"LSM2",0.00160906842434596,0.298483018980813,0.516,0.2,1,"7","LSM2"
"PLEK3",0.00161720961346764,0.525022808486214,0.419,0.167,1,"7","PLEK"
"IMPDH11",0.00161813657901357,0.817723706041001,0.258,0.084,1,"7","IMPDH1"
"TXN21",0.00163058951312977,0.424067792337183,0.419,0.16,1,"7","TXN2"
"PGAM13",0.00165088933927163,0.335697312956443,0.581,0.233,1,"7","PGAM1"
"PSMD2",0.00165728636505461,0.441205855702275,0.29,0.096,1,"7","PSMD2"
"IMPDH2",0.00166380434356723,0.401760054862726,0.419,0.16,1,"7","IMPDH2"
"SCO22",0.00167852852518918,0.612122499606718,0.355,0.131,1,"7","SCO2"
"SLIRP1",0.00168658879184309,0.591330939738543,0.323,0.114,1,"7","SLIRP"
"STARD7",0.00170642780509779,1.2996910523241,0.258,0.089,1,"7","STARD7"
"UNC1191",0.00170964926990422,0.772050215101752,0.29,0.1,1,"7","UNC119"
"SNRPB2",0.00171650571428594,0.493683985814686,0.355,0.129,1,"7","SNRPB2"
"TMEM256",0.00172378021166546,0.400210615243785,0.419,0.161,1,"7","TMEM256"
"RTN42",0.00178540081707225,0.269723980850831,0.581,0.239,1,"7","RTN4"
"NENF",0.00181741774085689,0.463142469918796,0.387,0.147,1,"7","NENF"
"ASNA1",0.00188403308177337,0.366245209774928,0.355,0.127,1,"7","ASNA1"
"RAD23B",0.00198339823126492,0.610807412156825,0.323,0.115,1,"7","RAD23B"
"CCT6A",0.00198977308448629,0.425134553768677,0.419,0.162,1,"7","CCT6A"
"ZYX2",0.00201912109399161,0.396226393163629,0.387,0.148,1,"7","ZYX"
"NHP2",0.00202131230679027,0.504868794625239,0.548,0.235,1,"7","NHP2"
"IFT20",0.00203390768253978,0.254155672122708,0.323,0.113,1,"7","IFT20"
"TRMT1121",0.00203479470178535,0.296392753163842,0.839,0.373,1,"7","TRMT112"
"ATOX12",0.00204618939508999,0.42982524981531,0.323,0.115,1,"7","ATOX1"
"MIR1422",0.00205082935696242,0.429418341321857,0.419,0.165,1,"7","MIR142"
"WBSCR22",0.00205162833939983,0.448163755037991,0.419,0.163,1,"7","WBSCR22"
"FAM89B",0.00206375923932654,0.353191664893661,0.258,0.083,1,"7","FAM89B"
"FKBP2",0.00206849186865061,1.44878987686306,0.355,0.135,1,"7","FKBP2"
"CCT51",0.00208515818070608,1.33109895760317,0.452,0.183,1,"7","CCT5"
"CSNK2B3",0.00209730012760967,0.336167178659617,0.742,0.338,1,"7","CSNK2B"
"C11orf313",0.00210094639915981,0.500493542399366,0.871,0.442,1,"7","C11orf31"
"FAM162A",0.00212138973113161,0.728580329622788,0.355,0.134,1,"7","FAM162A"
"RPS19BP1",0.00212948776077483,0.255530040196537,0.581,0.241,1,"7","RPS19BP1"
"ATP5J",0.00214257780143133,1.16803084416851,0.645,0.291,1,"7","ATP5J"
"WSB12",0.00214652503271823,0.477768933264316,0.452,0.179,1,"7","WSB1"
"RPN1",0.00216498943485065,0.453022303306154,0.323,0.114,1,"7","RPN1"
"PARVG2",0.0023233144149524,0.565687966738906,0.387,0.15,1,"7","PARVG"
"PGD1",0.00234329340838511,0.330362303337814,0.323,0.115,1,"7","PGD"
"DRAP12",0.00241337503153185,0.263670704580446,0.935,0.461,1,"7","DRAP1"
"PPA2",0.00241852892510867,0.517676887311317,0.258,0.087,1,"7","PPA2"
"MRPL11",0.00242526057049049,0.723291691269899,0.387,0.155,1,"7","MRPL11"
"C12orf752",0.00244893514701479,0.431177924196819,0.355,0.135,1,"7","C12orf75"
"TWF21",0.00245228229588017,0.28458042537019,0.452,0.181,1,"7","TWF2"
"UFD1L",0.002455230365208,0.267242592387622,0.387,0.146,1,"7","UFD1L"
"NQO2",0.00248933677471316,0.51243076774913,0.258,0.084,1,"7","NQO2"
"PMF1",0.00258734169201306,0.46161776901163,0.355,0.134,1,"7","PMF1"
"COX6A1P21",0.00261786329166288,0.562786222040029,0.452,0.186,1,"7","COX6A1P2"
"LDHA2",0.00272230931533405,0.433227034602885,0.903,0.488,1,"7","LDHA"
"ACTR1A",0.00273502577240046,1.94460419212786,0.258,0.089,1,"7","ACTR1A"
"CCT8",0.00275890907215385,0.566011827643919,0.516,0.221,1,"7","CCT8"
"PTP4A21",0.0027908169662928,0.361173029492207,0.548,0.233,1,"7","PTP4A2"
"ITGB2-AS1",0.00284156506790764,0.394598258387057,0.29,0.101,1,"7","ITGB2-AS1"
"MLX1",0.00286410417228797,0.324160672124985,0.323,0.116,1,"7","MLX"
"PSMB32",0.00289100371415681,0.555430796201491,0.774,0.378,1,"7","PSMB3"
"PTBP1",0.00290531448226529,0.43224778442492,0.323,0.117,1,"7","PTBP1"
"PRKAR1A1",0.00290826503647637,0.569789741230884,0.419,0.172,1,"7","PRKAR1A"
"SEPT2",0.00291033646042029,0.543855815809109,0.29,0.102,1,"7","SEPT2"
"ATXN10",0.00297126612064584,0.637178094536675,0.323,0.124,1,"7","ATXN10"
"BRI32",0.00298182806322996,0.284879406696232,0.484,0.202,1,"7","BRI3"
"CYB5R4",0.002996250425119,0.467669276056589,0.29,0.102,1,"7","CYB5R4"
"CAMTA1",0.00309045806975043,0.486666354946164,0.258,0.087,1,"7","CAMTA1"
"SEC61G",0.00311636614704694,0.534946538042561,0.323,0.119,1,"7","SEC61G"
"RAB4A",0.00312228974672564,0.459707859328085,0.323,0.117,1,"7","RAB4A"
"PSMD81",0.00312669119169399,0.677101302330013,0.613,0.297,1,"7","PSMD8"
"TMEM167A",0.00316099765754571,0.767084253429285,0.258,0.089,1,"7","TMEM167A"
"DNAJC8",0.00316259955747582,1.91696425624524,0.484,0.216,1,"7","DNAJC8"
